ActiePeriode,PromotieNummer,ArtikelNummer,ArtikelDatum,PromotieOmschrijving,StartDatumPromotie,EindDatumPromotie,Status,VanPrijs,VoorPrijs
1113,46,196673,03/02/06,ARROGANT FROG CH.VIOG'18,2023-05-18,2023-06-01,40,9.4,6.72
1113,48,102598,17/02/17,ARROGANT FROG MAL/SYR'17,2023-05-18,2023-06-01,40,12.46,10.48
1113,50,129364,15/03/07,ARROGANT FROG P.N 2017,2023-05-18,2023-06-01,40,16.44,15.56
1115,116,129453,20/03/06,ARROGANT FROG ROSE,2023-06-15,2023-06-21,40,8.74,7.25
1113,52,129453,20/03/06,ARROGANT FROG ROSE,2023-05-18,2023-06-01,40,8.74,6.36
1114,242,129453,20/03/06,ARROGANT FROG ROSE,2023-06-01,2023-06-14,40,8.74,6.9
1114,181,129372,08/02/07,ARROGANT FROG S.B. 2018,2023-06-08,2023-06-14,40,6.57,6.33
1113,55,129372,08/02/07,ARROGANT FROG S.B. 2018,2023-05-18,2023-06-01,40,6.57,6.22
1112,131,101303,11/02/16,B&D CHARD. ALC.VRIJ 75CL,2023-05-11,2023-05-17,40,10.67,8.04
1116,14,101303,11/02/16,B&D CHARD. ALC.VRIJ 75CL,2023-06-22,2023-07-05,40,10.67,10.47
1112,154,100536,12/02/16,B&D MERLOT ALC.VRIJ 75CL,2023-05-11,2023-05-17,40,6.79,5.84
1116,7,100536,12/02/16,B&D MERLOT ALC.VRIJ 75CL,2023-06-22,2023-07-05,40,6.79,4.96
1115,282,769851,31/03/15,BACARDI CARTA BLANCA 150,2023-06-15,2023-06-21,40,41.98,29.74
1112,96,769851,31/03/15,BACARDI CARTA BLANCA 150,2023-05-11,2023-05-17,40,41.98,34.47
1114,122,769851,31/03/15,BACARDI CARTA BLANCA 150,2023-06-01,2023-06-14,40,41.98,30.89
1116,199,769851,31/03/15,BACARDI CARTA BLANCA 150,2023-06-22,2023-07-05,40,41.98,37.15
1113,58,769851,31/03/15,BACARDI CARTA BLANCA 150,2023-05-18,2023-06-01,40,41.98,32.97
1114,111,762164,07/03/94,BACARDI CARTA BLANCA 70C,2023-06-01,2023-06-14,40,23.89,21.01
1113,60,762164,07/03/94,BACARDI CARTA BLANCA 70C,2023-05-18,2023-06-01,40,23.89,23.82
1112,285,762164,07/03/94,BACARDI CARTA BLANCA 70C,2023-05-11,2023-05-17,40,23.89,17.59
1116,192,762164,07/03/94,BACARDI CARTA BLANCA 70C,2023-06-22,2023-07-05,40,23.89,21.56
1113,61,768367,26/03/15,BACARDI CARTA NEGRA 70C,2023-05-18,2023-06-01,40,25.14,23.96
1116,197,768367,26/03/15,BACARDI CARTA NEGRA 70C,2023-06-22,2023-07-05,40,25.14,23.55
1112,287,768367,26/03/15,BACARDI CARTA NEGRA 70C,2023-05-11,2023-05-17,40,25.14,20.2
1114,119,768367,26/03/15,BACARDI CARTA NEGRA 70C,2023-06-01,2023-06-14,40,25.14,21.96
1116,196,768340,13/03/15,BACARDI CARTA ORO 70CL,2023-06-22,2023-07-05,40,32.03,26.84
1112,288,768340,13/03/15,BACARDI CARTA ORO 70CL,2023-05-11,2023-05-17,40,32.03,26.04
1114,118,768340,13/03/15,BACARDI CARTA ORO 70CL,2023-06-01,2023-06-14,40,32.03,28.7
1113,62,768340,13/03/15,BACARDI CARTA ORO 70CL,2023-05-18,2023-06-01,40,32.03,22.45
1116,190,761095,02/06/05,BACARDI COCONUT 70CL,2023-06-22,2023-07-05,40,24.29,20.32
1116,189,761036,13/08/96,BACARDI LIMON       70CL,2023-06-22,2023-07-05,40,25.91,24.06
1112,90,761036,13/08/96,BACARDI LIMON       70CL,2023-05-11,2023-05-17,40,25.91,21.11
1113,65,761036,13/08/96,BACARDI LIMON       70CL,2023-05-18,2023-06-01,40,25.91,20.13
1115,218,761036,13/08/96,BACARDI LIMON       70CL,2023-06-15,2023-06-21,40,25.91,23.5
1113,69,767360,07/10/15,BACARDI MANGO 70CL,2023-05-18,2023-06-01,40,23.68,21.05
1116,194,767360,07/10/15,BACARDI MANGO 70CL,2023-06-22,2023-07-05,40,23.68,22.56
1112,292,767360,07/10/15,BACARDI MANGO 70CL,2023-05-11,2023-05-17,40,23.68,20.31
1113,70,768235,26/02/15,BACARDI OAKHEART 150CL,2023-05-18,2023-06-01,40,42.98,41.38
1115,280,768235,26/02/15,BACARDI OAKHEART 150CL,2023-06-15,2023-06-21,40,42.98,30.71
1112,93,768235,26/02/15,BACARDI OAKHEART 150CL,2023-05-11,2023-05-17,40,42.98,35.52
1112,294,768766,09/08/11,BACARDI OAKHEART 70CL,2023-05-11,2023-05-17,40,22.23,21.11
1116,198,768766,09/08/11,BACARDI OAKHEART 70CL,2023-06-22,2023-07-05,40,22.23,19.8
1113,72,768766,09/08/11,BACARDI OAKHEART 70CL,2023-05-18,2023-06-01,40,22.23,18.33
